1/12/2012	2320	8044	5415	977	2526	7161	149	6284	5667	5761	3425	8916	7685	á	á	á	821	1234	3358	2530	8433	8140	9962	1868	465	8451
28/11/2012	6675	672	2779	4430	1452	9749	7427	6258	5533	5703	8478	3285	3306	á	á	á	2724	7295	491	249	706	3064	9040	6794	6858	5395
27/11/2012	2251	8054	6321	5990	889	4591	1236	4119	5877	1928	5941	1960	256	á	á	á	2409	4431	2268	8741	4696	9095	4173	8695	2692	4249
25/11/2012	9358	9604	5027	1734	9071	5748	5213	3079	1530	9098	4656	5843	2224	á	á	á	28	5306	3481	8643	7021	7267	5421	6311	3437	3276
24/11/2012	9260	7412	4861	3881	5763	4523	5185	6393	2846	6445	6187	6753	8498	á	á	á	3827	155	5477	2903	8945	6752	561	3952	1293	2675
21/11/2012	9867	8814	2604	6481	2049	4846	7022	4162	7808	4507	4199	1593	3002	á	á	á	3968	301	7955	6639	9906	9951	7390	2638	2951	2630
18/11/2012	235	9383	2171	5948	2539	6946	2266	5193	9866	3883	206	3147	4996	á	á	á	1668	451	1396	9705	770	9936	5275	95	7304	3533
17/11/2012	4950	8896	3318	9187	74	3849	7809	6413	303	950	4248	5079	5549	á	á	á	3011	977	391	4160	5598	6837	6007	7520	6426	1927
14/11/2012	5281	2551	6230	6691	8684	7110	9620	1154	2942	6769	2572	8436	6585	á	á	á	3112	7484	9193	6830	2101	484	574	8088	4272	5030
13/11/2012	1841	411	6445	4414	7796	4167	591	4329	9612	6131	2716	9542	6714	á	á	á	4087	3951	55	4172	7718	27	6560	7587	9977	9125
11/11/2012	5072	872	7571	9547	5266	6054	6684	4292	8295	6764	8845	9482	6973	á	á	á	591	4710	6132	7912	5074	1321	3642	5055	9903	2786
10/11/2012	4690	1547	4588	9405	7078	5436	1142	5958	4917	2731	5392	3908	6777	á	á	á	4504	7094	634	2914	9973	897	344	9756	1236	2399
7/11/2012	7169	5971	520	8953	3529	7800	3616	9505	9945	7819	8035	9261	8228	á	á	á	3981	7538	943	1175	5457	3758	8589	8198	7156	9091
4/11/2012	1122	1965	8285	2057	5350	3676	2505	3334	89	2371	9382	5949	8190	á	á	á	7557	3133	8588	5590	8520	4191	5729	3169	6720	7161
3/11/2012	7236	2175	8432	3475	6776	1461	6542	3478	6091	6828	176	8004	8958	á	á	á	563	302	3575	9646	4499	1738	8903	7040	7016	1872
31/10/2012	9937	1184	8310	5507	6524	1192	6480	1722	3987	2396	6945	6560	7625	á	á	á	3365	1760	4887	1920	3983	327	1047	3625	2308	7667
30/10/2012	4425	2964	368	9396	2314	8026	6181	2415	2171	9324	1109	2850	3024	á	á	á	6005	9617	7383	3672	6193	7800	9892	1098	9848	4017
28/10/2012	7551	3090	575	5067	3830	9838	4733	5536	5769	286	8248	7026	2079	á	á	á	8499	3846	5642	4171	159	4047	7450	4722	6130	934
27/10/2012	9966	3288	2290	3299	3516	9399	8720	4612	7933	3637	8080	4879	3996	á	á	á	7279	2593	5074	7521	540	3665	8516	7975	3472	3755
24/10/2012	6749	1196	6915	7799	1766	2253	6213	9511	9982	4419	9552	6851	3344	á	á	á	9865	8747	4659	8344	866	292	3264	5580	6193	1655
21/10/2012	5433	4565	2418	9537	366	4130	8789	739	6977	4456	234	9228	391	á	á	á	8042	3379	6591	6359	3475	510	661	7134	5900	6136
20/10/2012	765	4034	1227	2965	1653	4066	9100	549	9651	3208	1847	669	2468	á	á	á	7284	9336	7793	6899	932	5286	6565	4088	6496	8643
17/10/2012	8853	4538	5863	7569	872	4180	4483	144	1038	804	4470	5150	9500	á	á	á	4545	9902	359	9412	1876	1402	3806	7773	7069	922
14/10/2012	371	2527	6145	6210	7215	7953	7081	3485	4889	8932	9820	3836	335	á	á	á	813	9677	8174	6135	3141	6212	9549	133	5687	8279
13/10/2012	8386	3607	2281	7410	2191	3124	1908	2164	1348	4751	9074	7770	9585	á	á	á	5295	3655	2804	3691	4274	7598	1506	7503	3708	3648
10/10/2012	2893	524	6004	7244	7628	555	7701	9330	4542	2330	3527	351	6420	á	á	á	8966	2613	4777	9993	6885	7098	4288	6206	7346	4156
7/10/2012	2649	7244	2804	3788	3704	5436	1955	4511	501	308	9643	3444	3835	á	á	á	1784	1157	4660	6691	2139	3110	5856	3539	497	6006
6/10/2012	4966	1838	9974	6558	9724	6188	4747	9406	966	5192	1997	7280	8328	á	á	á	2880	6513	5021	5522	5539	253	1023	3469	8718	5435
